Reference Code, FirstName, LastName, FlightCode, Baggage Weight, Baggage Volume, VIP
B0001,David,Johnson,BT0967,18.3,0.11,false
B0002,John,Brown,SC5904,52.7,1.57,false
B0003,Karen,Smith,UT3256,39.7,0.45,false
B0004,Robert,Johnson,UT3256,41.6,1.15,false
B0005,Michael,Martinez,UK5421,14.5,2.29,false
B0006,Emily,Smith,BO9371,11.6,2.41,false
B0007,Karen,Martinez,GJ0168,30.2,2.07,false
B0008,Karen,Wilson,PD1435,32.6,0.33,false
B0009,Susan,Miller,UT3256,11.9,0.17,false
B0010,David,Brown,FY7237,17.6,0.67,false
B0011,John,Smith,SC5904,17.2,0.96,false
B0012,Lisa,Lee,PD1435,40.1,0.42,false
B0013,Lisa,Wilson,GJ0168,18.9,2.88,false
B0014,Lisa,Wilson,GJ0168,59.5,0.31,false
B0015,Lisa,Davis,PD1435,33.4,1.42,false
B0016,John,Lee,UK5421,54.5,2.71,false
B0017,Lisa,Wilson,PD1435,16.5,2.01,false
B0018,Susan,Johnson,UT3256,13.9,0.21,false
B0019,Emily,Davis,FY7237,33.0,2.66,false
B0020,Robert,Martinez,GJ0168,9.3,2.88,false
B0021,Susan,Lee,BO9371,14.1,0.59,false
B0022,John,Wilson,GJ0168,20.7,0.07,false
B0023,Karen,Davis,BO9371,6.2,2.34,false
B0024,John,Wilson,PD1435,2.6,0.83,false
B0025,William,Miller,BT0967,19.3,2.09,false
B0026,Linda,Davis,SC5904,31.8,1.44,false
B0027,Emily,Miller,UK5421,17.3,0.69,false
B0028,Emily,Lee,BO9371,56.3,2.17,false
B0029,Lisa,Wilson,UT3256,58.9,2.48,false
B0030,John,Lee,GJ0168,55.0,2.03,false
B0031,Linda,Smith,FY7237,56.8,2.77,false
B0032,William,Davis,SC5904,34.5,2.26,false
B0033,William,Smith,SC5904,33.4,0.62,false
B0034,Michael,Wilson,FY7237,26.2,2.46,false
B0035,Linda,Anderson,SC5904,53.6,2.89,false
B0036,John,Miller,SC5904,52.5,2.65,false
B0037,Lisa,Anderson,HY7425,1.3,1.41,false
B0038,Susan,Smith,BO9371,32.3,0.25,false
B0039,Linda,Brown,BO9371,21.0,1.65,false
B0040,William,Brown,BO9371,18.8,1.88,false
B0041,Michael,Martinez,FY7237,35.9,2.45,false
B0042,Linda,Lee,PD1435,40.8,0.76,false
B0043,Lisa,Johnson,GJ0168,33.8,2.27,false
B0044,William,Smith,SC5904,20.7,2.48,false
B0045,Emily,Martinez,PD1435,32.0,1.37,false
B0046,John,Anderson,HY7425,48.2,2.36,false
B0047,Linda,Davis,UK5421,30.9,1.64,false
B0048,David,Taylor,FY7237,52.5,0.67,false
B0049,John,Davis,UK5421,4.2,0.62,false
B0050,Robert,Brown,UK5421,13.6,0.86,false
B0051,Susan,Lee,UT3256,4.5,2.41,false
B0052,Lisa,Martinez,BT0967,42.3,1.73,false
B0053,Emily,Johnson,BT0967,53.0,0.28,false
B0054,Karen,Taylor,BO9371,5.1,2.51,false
B0055,Susan,Smith,SC5904,36.8,0.38,false
B0056,William,Smith,BT0967,23.1,2.95,false
B0057,William,Brown,UK5421,51.6,2.47,false
B0058,Michael,Martinez,HY7425,41.0,2.63,false
B0059,Lisa,Miller,GJ0168,59.9,0.02,false
B0060,John,Martinez,HY7425,51.1,1.22,false
B0061,John,Miller,BT0967,17.8,1.57,false
B0062,Linda,Davis,HY7425,50.4,0.67,false
B0063,Linda,Miller,PD1435,37.4,1.45,false
B0064,Karen,Smith,UK5421,28.6,2.61,false
B0065,David,Lee,PD1435,53.1,1.9,false
B0066,William,Wilson,HY7425,19.8,1.25,false
B0067,David,Anderson,GJ0168,31.0,0.38,false
B0068,Robert,Miller,GJ0168,45.3,0.45,false
B0069,Karen,Anderson,FY7237,54.6,2.37,false
B0070,Michael,Martinez,FY7237,13.5,2.61,false
B0071,William,Lee,GG9510,23.6,2.53,false
B0072,Lisa,Davis,SC5904,16.8,2.48,false
B0073,Karen,Taylor,UT3256,0.4,2.36,false
B0074,Karen,Lee,BT0967,8.4,1.28,false
B0075,Susan,Martinez,SC5904,57.6,2.81,false
B0076,Karen,Lee,UK5421,28.5,1.71,false
B0077,William,Wilson,GG9510,33.8,2.81,false
B0078,Emily,Miller,HY7425,57.5,0.2,false
B0079,Lisa,Davis,UT3256,51.0,2.67,false
B0080,Karen,Miller,HY7425,14.5,1.69,false
B0081,William,Davis,HY7425,43.8,2.75,false
B0082,John,Anderson,UT3256,58.4,2.21,false
B0083,Robert,Taylor,GJ0168,31.1,0.05,false
B0084,Robert,Taylor,FY7237,23.5,2.03,false
B0085,Emily,Wilson,GJ0168,39.7,1.65,false
B0086,Susan,Johnson,SC5904,48.3,2.68,false
B0087,Karen,Johnson,GG9510,59.0,0.77,false
B0088,Emily,Wilson,HY7425,46.3,2.19,false
B0089,Robert,Johnson,GJ0168,59.5,1.78,false
B0090,David,Smith,SC5904,7.7,2.69,false
B0091,John,Miller,FY7237,58.4,2.68,false
B0092,Linda,Lee,UK5421,37.1,0.9,false
B0093,David,Brown,BO9371,18.8,0.99,false
B0094,William,Davis,FY7237,22.5,1.72,false
B0095,Michael,Smith,HY7425,45.0,2.2,false
B0096,Lisa,Anderson,UK5421,15.7,0.62,false
B0097,William,Smith,SC5904,52.1,2.73,false
B0098,Karen,Taylor,BO9371,10.9,2.18,false
B0099,Michael,Davis,UK5421,14.0,0.09,false
