Reference Code,FirstName,LastName,FlightCode,CheckInStatus
B0001,Linda,Smith,MB7047,NotCheckedIn
B0002,Michael,Davis,BB5558,NotCheckedIn
B0003,Linda,Taylor,MB7047,NotCheckedIn
B0004,Susan,Davis,LE7978,NotCheckedIn
B0005,Emily,Martinez,KW4304,NotCheckedIn
B0006,Karen,Martinez,OM9608,NotCheckedIn
B0007,John,Wilson,JY5289,NotCheckedIn
B0008,Emily,Martinez,OM9608,NotCheckedIn
B0009,Michael,Brown,TM5111,NotCheckedIn
B0010,Lisa,Wilson,KW4304,NotCheckedIn
B0011,Lisa,Martinez,JY5289,NotCheckedIn
B0012,Emily,Anderson,BB5558,NotCheckedIn
B0013,Emily,Lee,MB7047,NotCheckedIn
B0014,Linda,Johnson,JY5289,NotCheckedIn
B0015,Emily,Anderson,UR7371,NotCheckedIn
B0016,John,Anderson,DB2217,NotCheckedIn
B0017,John,Miller,OM9608,NotCheckedIn
B0018,Linda,Taylor,DB2217,NotCheckedIn
B0019,John,Wilson,TM5111,NotCheckedIn
B0020,Linda,Johnson,TM5111,NotCheckedIn
B0021,John,Johnson,BB5558,NotCheckedIn
B0022,Michael,Martinez,LE7978,NotCheckedIn
B0023,Karen,Anderson,OM9608,NotCheckedIn
B0024,Robert,Brown,MB7047,NotCheckedIn
B0025,Lisa,Martinez,LE7978,NotCheckedIn
B0026,Karen,Wilson,OM9608,NotCheckedIn
B0027,John,Johnson,LE7978,NotCheckedIn
B0028,John,Wilson,LE7978,NotCheckedIn
B0029,Linda,Brown,TM5111,NotCheckedIn
B0030,David,Smith,LE7978,NotCheckedIn
B0031,David,Wilson,DB2217,NotCheckedIn
B0032,Michael,Lee,CX3347,NotCheckedIn
B0033,Emily,Miller,KW4304,NotCheckedIn
B0034,Emily,Taylor,LE7978,NotCheckedIn
B0035,Susan,Johnson,LE7978,NotCheckedIn
B0036,Emily,Wilson,TM5111,NotCheckedIn
B0037,Lisa,Anderson,TM5111,NotCheckedIn
B0038,Michael,Anderson,JY5289,NotCheckedIn
B0039,Susan,Miller,OM9608,NotCheckedIn
